,Account Length,Area Code,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Int'l Plan_yes,VMail Plan_yes
2742,0.35464634908381076,-0.52642201221007,-0.5877408509859608,0.8529427529256406,0.026044985496499442,0.8531043760323932,1.4947594621759537,-1.999506111354,1.495185062486748,0.24246991976218316,-0.9352038812584784,0.24113377066877528,0.7300455580990804,-0.18742714330807886,0.7281346862525312,1.087630126285245,0,0
2346,0.8306000000296141,1.712422971452857,1.898857042837104,1.2351885180317181,0.22682170362325532,1.2347026715897127,0.48488642542439236,1.6365333461451805,0.48542574408726363,-0.2883129724499928,-1.2441936294193354,-0.2898530640768314,-1.4666820745028262,0.22228049325965835,-1.4634215266352755,0.3305647337137219,0,1
2386,-0.6724115292729227,1.712422971452857,1.3869104176382379,-0.47572882482288953,1.0801227556619677,-0.4754630609079624,-0.10961972876463554,2.4832822609052636,-0.10977642295096464,1.4822690738961588,-0.729210715817907,1.4815538354433493,1.0489253757348407,-1.0068424164435532,1.0430888725358092,1.8446955188567684,0,1
2201,-0.6974617214279649,-0.6913895373220752,-0.5877408509859608,-1.0656369527029421,-0.42570263028870126,-1.0656972517699919,-1.2317008807108145,0.6901669120015583,-1.2307019048439707,0.4539996332637143,1.433717521308093,0.4543989747879127,-1.5729753470480796,0.22228049325965835,-1.5684062553963678,-0.4265006588578013,0,0
786,-0.04615672539686569,-0.6913895373220752,-0.5877408509859608,-0.3728165034481764,-0.877450246073902,-0.37276663575797575,-0.895076535126961,1.0388282298439455,-0.8948874526239584,1.070961297643181,0.712741442266093,1.0724328316229637,-0.6517669849892155,-0.5971347798758161,-0.649789878736808,-0.4265006588578013,0,0
1377,0.730399231409445,-0.6913895373220752,-0.5877408509859608,-0.06775497937313314,1.9836179872323692,-0.06792040531275176,0.00258838642998213,0.19207931508386233,0.003705702282004581,-0.7662134362867862,1.1762260645073788,-0.7642593344643004,0.37573464961490205,0.22228049325965835,0.3738112266838439,-0.4265006588578013,0,0
1034,0.5800980784791913,1.712422971452857,2.118262739350904,-0.34525070307994965,0.42759842175001117,-0.3457412607185055,0.06558241601292529,-1.0531396772103776,0.06623666924711016,0.596978050723083,-0.6777124244577641,0.598026561235495,-0.4746115307471263,-0.18742714330807886,-0.47918969450003285,-0.4265006588578013,0,1
2607,0.22939538830859937,-0.6913895373220752,1.898857042837104,0.226280224554619,0.678569319408456,0.22611567511668398,-1.4088715889128427,0.6901669120015583,-1.4090309587814942,-1.2676172016237495,0.09476194594437873,-1.2691320625830744,-1.3958198928059904,3.0902339492338187,-1.3978060711595925,-0.4265006588578013,0,1
650,-0.22150807048216165,-0.52642201221007,-0.5877408509859608,0.31265306570839596,-0.8272560665422131,0.31259687524298907,1.3471172053409302,0.24188807477563193,1.3469635111620528,-0.8249716900372116,0.24925682002480729,-0.825192249926911,0.19857919537281285,-0.18742714330807886,0.20321104244706867,-0.4265006588578013,0,0
2646,-0.44695979987754214,-0.6913895373220752,-0.5877408509859608,-1.1409834737094284,0.026044985496499442,-1.1413683018805083,-0.7966483639036118,-0.40562580121737285,-0.7976170595671274,0.6714051721402887,2.566679931231236,0.6720165300115222,0.4111657404633198,2.270818676098344,0.41318049996925393,-1.1835660514293245,0,0
461,-0.2716084547922462,-0.6913895373220752,1.6063161141520377,0.07007402246800067,-1.2288095027957249,0.07044951488933582,0.5675660892520054,-0.25619952214206404,0.5664844049679557,-1.1148457418726438,1.2277243558675215,-1.1167997739265476,-0.8997846209281405,-0.5971347798758161,-0.8991286095444028,-0.4265006588578013,0,1
2307,-0.07120691755190797,-0.6913895373220752,-0.5877408509859608,-0.8065184292416107,-0.927644425605591,-0.8062536513910776,-0.8773594643067579,0.8894019507686367,-0.8763597587083719,-0.826930298495559,-0.8837055898983356,-0.825192249926911,-0.049438440566112435,0.22228049325965835,-0.04612768836052603,0.3305647337137219,0,0
157,-0.8728130665132608,-0.52642201221007,2.0451275071796373,-1.346808116458855,-1.2288095027957249,-1.3467611521804819,0.17582196778307665,-1.1527571965939167,0.17508687100118275,-0.2080100256577449,0.8672363163465215,-0.20715839309186002,0.6591833764022444,-1.0068424164435532,0.6625192307768486,-0.4265006588578013,0,1
1718,0.1792950039985148,-0.52642201221007,-0.5877408509859608,1.1065481163133264,-1.1284211437323468,1.106061886401834,0.5793774697988077,0.44112311354271033,0.5803801754046456,0.31297982426269355,-0.8837055898983356,0.31077138834033036,-1.7855618921385865,-1.4165500530112904,-1.7914988040136897,0.3305647337137219,0,0
1507,1.0310015372699524,-0.6913895373220752,1.1675047211244378,1.0991972362151332,0.12643334455987737,1.0995757963923616,1.6738987338024482,-1.750462312895152,1.6735141164242715,1.090547382226656,0.30075511138495015,1.0898422360408528,-0.26202498565661936,-0.18742714330807886,-0.2560971458827113,-1.1835660514293245,0,1
2618,1.8326076862313052,1.712422971452857,-0.5877408509859608,1.0201752751595494,0.37740424221832225,1.0206617012771082,-1.1529583437321353,2.1346209430628766,-1.1519592057027266,2.265712457235164,1.5882123953885214,2.2649770342483437,0.8009077397959159,0.22228049325965835,0.8068732328233507,-1.1835660514293245,0,0
238,0.5049475020140645,-0.6913895373220752,-0.5877408509859608,-0.17618046082149186,0.37740424221832225,-0.1760219054706326,2.945590706008118,-1.601036033819843,2.94497711138142,1.8798665909407042,-0.6777124244577641,1.8819701370547908,0.3403035587664837,-0.5971347798758161,0.33444195339843447,-1.1835660514293245,0,0
2438,2.1081597999367703,-0.52642201221007,0.8018285602681048,-0.4169217840373388,1.1303169351936568,-0.4170882508227069,1.11876384810276,-0.30600828183383366,1.1176832989566647,-0.2080100256577449,0.352253402745093,-0.20715839309186002,-0.22659389480820166,0.6319881298273955,-0.22985096369243813,-1.1835660514293245,0,1
937,-0.24655826263720393,-0.52642201221007,-0.5877408509859608,-0.470215664749244,3.2384724755245933,-0.4700579859000683,-0.6411318533707203,1.0388282298439455,-0.640131661284639,0.7615011612242741,-0.9867021726186213,0.7634159032054385,0.5174590130085729,-0.18742714330807886,0.5181652287303465,2.6017609114282916,0,0
1775,-1.2235157566838528,1.712422971452857,-0.5877408509859608,-0.5823165862466994,-0.877450246073902,-0.5824835460642643,-0.3793129179166122,-1.0531396772103776,-0.3784279847269747,-0.8896057691626797,0.19775852866466442,-0.890477516493994,-0.6871980758376333,0.6319881298273955,-0.6891591520222176,1.087630126285245,0,0
100,-0.6473613371178804,-0.52642201221007,0.948099024610638,-0.0769435794958754,-0.17473173263025643,-0.07656852532538204,0.3274013514670339,0.2916968344674015,0.3279403458047745,0.7144945582239337,1.74270726946895,0.7155400410562439,-1.7501308012901688,-0.18742714330807886,-1.7521295307282798,2.6017609114282916,0,1
315,-0.42190960772249986,1.712422971452857,-0.5877408509859608,0.02780646190338609,1.4314820123837906,0.02828992982776224,-1.3813117009703055,0.5905493926180191,-1.381239417908114,-0.28439575553329804,0.9187346077066644,-0.2855007129723593,-0.6163358941407978,-0.18742714330807886,-0.6104206054513986,-0.4265006588578013,0,0
2794,-1.0982647959086413,-0.52642201221007,-0.5877408509859608,-0.4022200238409515,0.829151858003523,-0.4019540408006035,-1.6864390317626872,2.433473501213494,-1.6869463675152974,-0.36469870232554596,-0.4202209676570498,-0.36384303285285857,0.5528901038569913,1.0416957663951327,0.557534502015756,-1.1835660514293245,0,0
2280,1.4819049960607134,-0.6913895373220752,-0.5877408509859608,-0.24968926180342987,0.829151858003523,-0.24953092557799153,2.2861219588116795,1.4372983073781023,2.287243977378086,-0.7955925631619989,1.0732294817870929,-0.7947257921956059,-0.08486953141453014,-1.0068424164435532,-0.08549696164593548,-0.4265006588578013,0,0
1105,0.22939538830859937,1.712422971452857,-0.5877408509859608,0.09396438278713021,-0.024149194035189527,0.09423184492406948,-0.704125882953664,-0.6048608399844512,-0.7049785899891933,-1.7513934908355857,0.19775852866466442,-1.7522430351794878,-1.3958198928059904,-0.18742714330807886,-1.3978060711595925,1.087630126285245,0,0
695,1.0811019215800368,-0.52642201221007,3.1421559897486366,1.9096317670409992,-0.12453755309856747,1.9092560325748884,-0.17458232177204613,0.44112311354271033,-0.17462335165551895,-0.0924521266152415,-0.7807090071780498,-0.09399726437558316,-0.08486953141453014,-0.18742714330807886,-0.08549696164593548,-0.4265006588578013,0,1
261,-0.6223111449628381,1.712422971452857,-0.5877408509859608,0.336543426027526,1.4816761919154795,0.33637920527772275,0.3195270977691659,-0.7044783593679904,0.31867649884698124,-0.24718219482469517,-0.2142278022164784,-0.24632955303210965,0.8009077397959159,-0.5971347798758161,0.8068732328233507,-1.1835660514293245,0,0
2401,1.9328084548514743,-0.52642201221007,1.9719922750083707,-0.08429445959406931,-0.6264793484154572,-0.08413563033643373,-0.21395359026138575,-1.750462312895152,-0.21399470122614145,-1.2206105986234097,-0.31722438493676414,-1.2212562004338803,0.09228592282755907,-0.5971347798758161,0.09822631368597604,0.3305647337137219,0,1
1480,0.4798973098590222,1.712422971452857,-0.5877408509859608,-0.40405774386549986,0.47779260128170015,-0.40411607080376105,-0.07615415054869709,0.14227055539209274,-0.07503699685923958,-0.9033160283711121,1.6397106867486644,-0.9035345698074106,-0.08486953141453014,0.22228049325965835,-0.08549696164593548,-0.4265006588578013,0,0
